tsaEligible,damagedStateAbbreviation,residenceType,grossIncome,repairAmount,destroyed,waterLevel
0,NC,House/Duplex,8400.0,,0,0.0
1,PR,House/Duplex,18000.0,,0,
1,PR,House/Duplex,125000.0,,0,
1,PR,Apartment,,,0,
0,FL,Mobile Home,30000.0,,0,
0,LA,Apartment,26400.0,,0,
0,LA,House/Duplex,57000.0,,0,
1,PR,College Dorm,,,0,0.0
0,TX,Apartment,30000.0,,0,
0,LA,House/Duplex,55000.0,,0,
0,LA,Apartment,1500.0,,0,
1,LA,Apartment,18000.0,,0,0.0
0,LA,House/Duplex,9528.0,,0,
1,PR,Condo,12500.0,,0,
0,LA,House/Duplex,9480.0,,0,26.0
0,LA,House/Duplex,160000.0,,0,
0,LA,House/Duplex,,,0,
0,FL,House/Duplex,32000.0,,0,0.0
1,PR,House/Duplex,26400.0,2537.73,0,42.0
1,PR,Apartment,22000.0,,0,0.0
0,TX,House/Duplex,20776.0,,0,
1,FL,House/Duplex,50000.0,,0,
1,PR,House/Duplex,9600.0,,0,0.0
1,FL,House/Duplex,14000.0,,0,
1,PR,House/Duplex,29000.0,,0,
1,FL,House/Duplex,50000.0,,0,
1,TX,Apartment,13000.0,,0,0.0
0,LA,House/Duplex,140000.0,,0,
1,PR,House/Duplex,,,0,0.0
0,TX,House/Duplex,15000.0,,0,0.0
0,FL,House/Duplex,45000.0,,0,
0,FL,Townhouse,,,0,
0,FL,House/Duplex,23000.0,1000.0,0,0.0
0,FL,Condo,26000.0,,0,
0,LA,Apartment,38000.0,,0,0.0
0,LA,Mobile Home,56000.0,,0,0.0
0,TX,House/Duplex,50000.0,3523.02,0,0.0
1,PR,House/Duplex,14000.0,1120.01,0,4.0
1,FL,Apartment,70438.0,,0,
1,PR,Townhouse,,,0,
0,FL,Apartment,2400.0,,0,0.0
0,LA,Mobile Home,80000.0,,0,
1,FL,Townhouse,,,0,0.0
0,TX,House/Duplex,153160.0,,0,0.0
1,FL,Mobile Home,40000.0,,0,0.0
0,LA,Mobile Home,60000.0,,0,2.0
0,PR,House/Duplex,,,0,
1,FL,House/Duplex,30000.0,31660.0,0,49.0
1,FL,Condo,54000.0,,0,
1,PR,House/Duplex,13645.0,,0,
0,LA,House/Duplex,140389.0,,0,0.0
1,FL,House/Duplex,2850.0,,0,0.0
0,FL,Apartment,20000.0,,0,
0,FL,Mobile Home,0.0,,0,0.0
0,LA,Mobile Home,9768.0,,0,0.0
1,PR,House/Duplex,,6806.73,0,16.0
1,LA,Apartment,46655.0,,0,0.0
0,LA,Apartment,31680.0,,0,0.0
1,PR,House/Duplex,,3474.63,0,27.0
1,TX,Apartment,15000.0,,0,36.0
0,TX,Condo,39012.0,,0,4.0
1,FL,Apartment,43000.0,,0,
0,FL,House/Duplex,22000.0,,0,
0,LA,House/Duplex,17000.0,,0,0.0
0,FL,House/Duplex,13584.0,,0,
1,FL,Apartment,190000.0,,0,
1,PR,House/Duplex,7440.0,513.84,0,0.0
0,FL,House/Duplex,,,0,
0,TX,House/Duplex,112000.0,,0,
0,LA,Apartment,36400.0,,0,
0,NC,House/Duplex,97000.0,,0,
0,FL,House/Duplex,24000.0,,0,0.0
1,PR,House/Duplex,22000.0,,0,0.0
1,FL,Apartment,25000.0,,0,
0,FL,Apartment,28000.0,,0,
0,TX,House/Duplex,,,0,
0,FL,Other,,,0,
0,TX,Apartment,,,0,
